"노선","기종점","순번","정류장명","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X0","X1","X2","X3","max"
507,"시흥동차고지(기점가상) - 시흥동차고지(가상)",18,"독산3동주민센터",1.095,0.925,0.625,1.675,1.83,1.19,0.725,0.685,0.455,0.495,0.375,0.445,0.34,0.52,0.5,0.565,0.32,0.165,0.175,0.035,0,0,0,0,1.83
741,"진관공영차고지 - 진관공영차고지",17,"안산초등학교",1.325,0.73,0.88,1.385,1.63,1.235,0.7,0.545,0.5,0.555,0.47,0.335,0.42,0.415,0.38,0.215,0.11,0.185,0.12,0.02,0,0,0,0,1.63
140,"도봉산역광역환승센터 - 도봉산역광역환승센터",25,"명륜3가.성대입구",0.94,0.75,0.895,1.225,1.57,1.125,0.74,0.595,0.7,0.58,0.615,0.58,0.645,0.605,0.56,0.405,0.525,0.56,0.715,0.46,0,0,0,0,1.57
463,"대흥교통(기점가상) - 도로교통공단서울지부.코트라",85,"역삼역6번출구",0,0,0.385,1.41,1.53,1.36,0.665,0.4,0.44,0.485,0.41,0.595,0.57,0.615,0.975,0.7,0.52,0.555,0.565,0.405,0.29,0,0,0,1.53
421,"대흥교통(기점가상) - 도로교통공단서울지부.코트라",16,"한남대교전망카페",0.15,0.14,0.14,0.58,0.62,0.43,0.365,0.41,0.56,0.53,0.625,0.655,0.65,1.1,1.505,1.14,0.845,0.865,0.755,0,0,0,0,0,1.505
470,"상암차고지(가상) - 상암차고지(가상)",18,"서대문우체국",0.505,0.555,0.875,1.495,1.405,1.175,0.64,0.685,0.68,0.615,0.49,0.485,0.43,0.535,0.535,0.345,0.23,0.2,0.175,0.025,0,0,0,0,1.495
105,"7단지영업소 - 28단지영업소",22,"중랑역.동부시장",0.875,0.43,0.585,1.2,1.41,0.885,0.775,0.645,0.63,0.635,0.6,0.5,0.555,0.53,0.55,0.4,0.3,0.28,0.28,0.25,0,0,0,0,1.41
104,"선일교통(가상) - 선일교통종점(가상)",19,"미아리고개.미아리예술극장",1.145,0.7,0.675,1.255,1.395,0.975,0.6,0.53,0.47,0.42,0.365,0.285,0.475,0.42,0.42,0.27,0.175,0.17,0.15,0.115,0,0,0,0,1.395
301,"서울버스종점 - 서울버스종점",73,"청담역.경기고교",0,0.025,0.285,1.11,1.39,1,0.41,0.365,0.34,0.435,0.37,0.495,0.47,0.59,0.755,0.485,0.36,0.47,0.45,0.235,0.04,0,0,0,1.39
604,"신월동기점 - 신월동기점",70,"합정역",0,0.255,0.19,0.345,0.725,0.385,0.205,0.345,0.325,0.6,0.555,0.72,0.895,0.95,1.35,1.185,0.825,1.03,1.21,0.7,0.89,0,0,0,1.35
144,"우이동차고지(기점가상) - 우이동차고지종점",42,"서울시중부기술교육원.블루스퀘어",0,0.57,0.515,1.005,1.305,1.07,0.585,0.425,0.405,0.53,0.48,0.565,0.645,0.825,0.85,0.51,0.44,0.415,0.495,0.255,0,0,0,0,1.305
472,"개포동차고지(가상) - 개포동차고지(종점가상)",57,"영동고등학교현대아파트",0,0.31,0.265,0.4,0.555,0.425,0.28,0.405,0.375,0.435,0.54,0.615,0.77,0.79,1.175,0.985,0.655,0.745,0.61,0.585,0.29,0.07,0,0,1.175
7212,"은평공영차고지 - 은평권역공영차고지",38,"부암동주민센터.무계원",0.33,0.175,0.335,1.085,0.965,0.625,0.555,0.53,0.41,0.47,0.505,0.59,0.61,0.535,0.525,0.21,0.135,0.08,0.07,0,0,0,0,0,1.085
7011,"은평공영차고지 - 은평공영차고지(가상)",16,"망원정입구",0.74,0.375,0.36,0.89,1.025,0.78,0.515,0.48,0.575,0.515,0.58,0.595,0.55,0.675,0.875,0.505,0.325,0.335,0.185,0.155,0,0,0,0,1.025
